Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,296.940002,298.190002,288.000000,288.950012,288.950012,8350500
2018-09-05,285.049988,286.779999,277.179993,280.739990,280.739990,7720800
2018-09-06,284.799988,291.170013,278.880005,280.950012,280.950012,7480800
2018-09-07,260.100006,268.350006,252.250000,263.239990,263.239990,22491900
2018-09-10,273.260010,286.029999,271.000000,285.500000,285.500000,14283500
2018-09-11,279.470001,282.000000,273.549988,279.440002,279.440002,9170000
2018-09-12,281.440002,292.500000,278.649994,290.540009,290.540009,10015400
2018-09-13,288.019989,295.000000,285.179993,289.459991,289.459991,6340300
2018-09-14,288.760010,297.329987,286.519989,295.200012,295.200012,6765600
2018-09-17,290.040009,300.869995,288.130005,294.839996,294.839996,6887600
2018-09-18,296.690002,302.640015,275.500000,284.959991,284.959991,16547500
2018-09-19,280.510010,300.000000,280.500000,299.019989,299.019989,8294900
2018-09-20,303.559998,305.980011,293.329987,298.329987,298.329987,7349400
2018-09-21,297.700012,300.579987,295.369995,299.100006,299.100006,5050500
2018-09-24,298.480011,303.000000,293.579987,299.679993,299.679993,4843000
2018-09-25,300.000000,304.600006,296.500000,300.989990,300.989990,4481700
2018-09-26,301.910004,313.890015,301.109985,309.579987,309.579987,7843200
2018-09-27,312.899994,314.959991,306.910004,307.519989,307.519989,8509100
2018-09-28,270.260010,278.000000,260.559998,264.769989,264.769989,33649700
2018-10-01,305.769989,311.440002,301.049988,310.700012,310.700012,21777600
2018-10-02,313.950012,316.839996,299.149994,301.019989,301.019989,11709900
